Fecha,Producto,Tipo de Venta,Precio Frecuente,Precio Minimo,Precio Maximo,Estado,Central de Abasto
22/01/2025,Huevo clasificado blanco,Empaque Docenero,31.0,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo blanco,Mayoreo,39.5,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo blanco,Medio Mayoreo,40.0,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo blanco,Menudeo,40.5,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo clasificado blanco,Caja 30 Docenas,38.0,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo clasificado blanco,Empaque Docenero,39.0,,,JAL,Mercado de Abasto de Guadalajara
03/12/2025,Huevo blanco,Mayoreo,32.0,31.0,34.0,PUE,Central de Abasto de Puebla
03/12/2025,Huevo rojo,Mayoreo,50.0,49.0,52.0,PUE,Central de Abasto de Puebla
10/12/2025,Huevo blanco,Mayoreo,32.0,28.0,34.0,PUE,Central de Abasto de Puebla
10/12/2025,Huevo rojo,Mayoreo,45.0,40.0,48.0,PUE,Central de Abasto de Puebla
17/12/2025,Huevo blanco,Mayoreo,31.0,30.0,34.0,PUE,Central de Abasto de Puebla
17/12/2025,Huevo rojo,Mayoreo,42.0,39.0,45.0,PUE,Central de Abasto de Puebla
24/12/2025,Huevo blanco,Mayoreo,32.0,30.0,34.0,PUE,Central de Abasto de Puebla
24/12/2025,Huevo rojo,Mayoreo,44.0,40.0,49.0,PUE,Central de Abasto de Puebla
31/12/2025,Huevo blanco,Mayoreo,30.0,29.0,31.0,PUE,Central de Abasto de Puebla
31/12/2025,Huevo rojo,Mayoreo,42.0,40.0,44.0,PUE,Central de Abasto de Puebla
08/01/2025,Huevo blanco,Mayoreo,33.5,32.5,34.5,PUE,Central de Abasto de Puebla
15/01/2025,Huevo blanco,Mayoreo,30.0,29.0,33.0,PUE,Central de Abasto de Puebla
15/01/2025,Huevo rojo,Mayoreo,42.0,42.0,45.0,PUE,Central de Abasto de Puebla
22/01/2025,Huevo blanco,Mayoreo,33.0,32.0,36.0,PUE,Central de Abasto de Puebla
29/01/2025,Huevo blanco,Mayoreo,41.0,38.0,43.0,PUE,Central de Abasto de Puebla
29/01/2025,Huevo rojo,Mayoreo,50.0,49.0,52.0,PUE,Central de Abasto de Puebla
03/12/2025,Huevo blanco,Mayoreo,30.0,,,SLP,Centro de Abasto de San Luis Potosí
03/12/2025,Huevo blanco,Menudeo,31.0,,,SLP,Centro de Abasto de San Luis Potosí
10/12/2025,Huevo blanco,Mayoreo,29.0,,,SLP,Centro de Abasto de San Luis Potosí
10/12/2025,Huevo blanco,Menudeo,30.0,,,SLP,Centro de Abasto de San Luis Potosí
17/12/2025,Huevo blanco,Mayoreo,30.0,,,SLP,Centro de Abasto de San Luis Potosí
17/12/2025,Huevo blanco,Menudeo,31.0,,,SLP,Centro de Abasto de San Luis Potosí
24/12/2025,Huevo blanco,Mayoreo,25.0,,,SLP,Centro de Abasto de San Luis Potosí
24/12/2025,Huevo blanco,Menudeo,26.0,,,SLP,Centro de Abasto de San Luis Potosí
31/12/2025,Huevo blanco,Mayoreo,25.0,,,SLP,Centro de Abasto de San Luis Potosí
31/12/2025,Huevo blanco,Menudeo,26.0,,,SLP,Centro de Abasto de San Luis Potosí
08/01/2025,Huevo blanco,Mayoreo,30.0,,,SLP,Centro de Abasto de San Luis Potosí
08/01/2025,Huevo blanco,Menudeo,31.0,,,SLP,Centro de Abasto de San Luis Potosí
15/01/2025,Huevo blanco,Mayoreo,32.5,,,SLP,Centro de Abasto de San Luis Potosí
15/01/2025,Huevo blanco,Menudeo,33.5,,,SLP,Centro de Abasto de San Luis Potosí
22/01/2025,Huevo blanco,Mayoreo,34.5,,,SLP,Centro de Abasto de San Luis Potosí
22/01/2025,Huevo blanco,Menudeo,35.5,,,SLP,Centro de Abasto de San Luis Potosí
29/01/2025,Huevo blanco,Mayoreo,39.0,,,SLP,Centro de Abasto de San Luis Potosí
29/01/2025,Huevo blanco,Menudeo,40.0,,,SLP,Centro de Abasto de San Luis Potosí
03/12/2025,Huevo blanco,Mayoreo,42.66,40.0,42.66,SON,Central de Abasto de Cd. Obregón
10/12/2025,Huevo blanco,Mayoreo,42.66,40.0,42.66,SON,Central de Abasto de Cd. Obregón
17/12/2025,Huevo blanco,Mayoreo,42.66,40.0,42.66,SON,Central de Abasto de Cd. Obregón
24/12/2025,Huevo blanco,Mayoreo,42.66,40.0,42.66,SON,Central de Abasto de Cd. Obregón
08/01/2025,Huevo blanco,Mayoreo,44.0,44.0,44.42,SON,Central de Abasto de Cd. Obregón
15/01/2025,Huevo blanco,Mayoreo,44.0,44.0,44.42,SON,Central de Abasto de Cd. Obregón
22/01/2025,Huevo blanco,Mayoreo,44.0,44.0,44.42,SON,Central de Abasto de Cd. Obregón
29/01/2025,Huevo blanco,Mayoreo,44.0,44.0,44.42,SON,Central de Abasto de Cd. Obregón
03/12/2025,Huevo blanco,Mayoreo,39.77,39.77,41.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
03/12/2025,Huevo blanco,Medio Mayoreo,41.77,41.77,42.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
10/12/2025,Huevo blanco,Mayoreo,39.77,39.77,41.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
10/12/2025,Huevo blanco,Medio Mayoreo,41.77,41.77,42.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
17/12/2025,Huevo blanco,Mayoreo,39.77,39.77,41.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
17/12/2025,Huevo blanco,Medio Mayoreo,41.77,41.77,42.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
24/12/2025,Huevo blanco,Mayoreo,36.88,36.88,38.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
24/12/2025,Huevo blanco,Medio Mayoreo,41.77,38.5,41.77,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
31/12/2025,Huevo blanco,Mayoreo,33.33,33.33,36.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
31/12/2025,Huevo blanco,Medio Mayoreo,41.77,37.0,41.77,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
08/01/2025,Huevo blanco,Mayoreo,45.55,45.55,47.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
08/01/2025,Huevo blanco,Medio Mayoreo,48.88,47.5,48.88,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
15/01/2025,Huevo blanco,Mayoreo,45.55,44.55,47.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
15/01/2025,Huevo blanco,Medio Mayoreo,48.88,47.5,48.88,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
22/01/2025,Huevo blanco,Mayoreo,45.55,45.55,46.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
22/01/2025,Huevo blanco,Medio Mayoreo,46.22,46.22,47.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
29/01/2025,Huevo blanco,Mayoreo,45.55,45.55,46.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
29/01/2025,Huevo blanco,Medio Mayoreo,46.22,46.22,47.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
03/12/2025,Huevo blanco,Mayoreo,33.0,,,YUC,Central de Abasto de Mérida
03/12/2025,Huevo blanco,Medio Mayoreo,34.0,,,YUC,Central de Abasto de Mérida
03/12/2025,Huevo blanco,Menudeo,45.0,36.0,48.0,YUC,Central de Abasto de Mérida
10/12/2025,Huevo blanco,Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
10/12/2025,Huevo blanco,Medio Mayoreo,33.0,,,YUC,Central de Abasto de Mérida
10/12/2025,Huevo blanco,Menudeo,45.0,36.0,45.0,YUC,Central de Abasto de Mérida
17/12/2025,Huevo blanco,Mayoreo,30.0,,,YUC,Central de Abasto de Mérida
17/12/2025,Huevo blanco,Medio Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
17/12/2025,Huevo blanco,Menudeo,45.0,36.0,45.0,YUC,Central de Abasto de Mérida
24/12/2025,Huevo blanco,Mayoreo,30.0,,,YUC,Central de Abasto de Mérida
24/12/2025,Huevo blanco,Medio Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
24/12/2025,Huevo blanco,Menudeo,45.0,36.0,45.0,YUC,Central de Abasto de Mérida
