Estado,Leche (miles de litros),Unnamed: 2_level_0,Unnamed: 3_level_0,Carne en canal (toneladas),Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Otros productos,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Año,Mes-Año
Unnamed: 0_level_1,Bovino,Caprino,Total,Bovino,Porcino,Ovino,Caprino,Ave,Guajolote,Total,Huevo para plato,Miel,Cera en greña,Lana sucia,Unnamed: 15_level_1,Unnamed: 16_level_1
Delegación Durango,8224.31,,8224.31,3113.24,278.63,29.994,24.315,34.675,,3480.85,170.941,38.821,0.858,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Laguna-Coahuila,131335.18,2657.27,133992.45,2560.18,353.099,6.138,113.223,8100.73,,11133.36,4178.67,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Laguna-Durango,120223.4,2012.75,122236.15,7282.52,79.064,13.414,27.283,23895.62,,31297.9,6353.59,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Aguascalientes,36459.26,,36459.26,2970.49,1605.37,70.248,14.537,32101.02,,36761.67,731.561,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Baja California,18241.08,38.098,18279.18,9608.06,95.926,24.941,16.731,101.355,,9847.01,2673.85,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Baja California Sur,2873.78,329.559,3203.33,581.044,89.44,19.059,41.073,62.376,,792.992,79.953,0.265,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Campeche,3650.96,2.069,3653.03,1842.86,462.086,127.995,2.97,1914.45,55.113,4405.47,384.046,23.98,0.323,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Coahuila,129779.86,3708.04,133487.9,3928.76,478.914,50.848,326.702,8077.35,,12862.57,4973.57,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Colima,2879.16,0.193,2879.36,1008.91,694.031,8.762,5.492,1170.96,0.324,2888.48,88.201,107.292,2.83,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Chiapas,38006.03,,38006.03,9355.98,2715.58,162.182,,21548.9,85.016,33867.66,453.848,848.384,11.774,8.381,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Chihuahua,100176.65,609.264,100785.91,6162.25,667.92,129.113,51.579,269.283,,7280.15,496.869,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Ciudad de México,891.637,,891.637,39.599,134.229,16.666,,3.83,,194.324,5.56,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Durango,128393.46,1922.37,130315.82,9489.36,328.629,37.076,76.318,22452.25,,32383.63,6448.69,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Guanajuato,76039.9,3663.89,79703.78,5156.1,11267.59,203.903,123.406,19334.03,,36085.03,5899.79,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Guerrero,7712.99,,7712.99,3641.08,1788.73,118.709,300.157,965.309,81.271,6895.25,753.28,292.35,6.3,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Hidalgo,31116.76,4.68,31121.44,2580.68,1169.7,544.703,62.483,7460.58,68.347,11886.49,492.346,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
México,32076.68,,32076.68,3490.65,1883.98,746.066,38.406,9199.92,162.633,15521.66,1316.5,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Michoacán,32368.1,348.475,32716.58,8685.67,4481.85,154.131,224.543,6079.48,10.548,19636.22,1714.06,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Morelos,1836.77,,1836.77,603.281,434.549,61.175,60.014,6253.93,,7412.95,74.849,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Nayarit,3255.77,,3255.77,1590.49,438.358,21.539,11.409,3619.15,,5680.94,2081.93,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Nuevo León,1308.17,324.706,1632.87,6479.13,1687.86,134.118,137.061,7115.6,,15553.77,7923.91,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Oaxaca,10935.68,,10935.68,4897.55,2098.94,193.069,233.92,983.703,41.952,8449.13,518.221,512.245,11.035,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Querétaro,34614.2,232.692,34846.89,3223.58,2348.33,89.177,12.992,32380.63,5.246,38059.96,1678.79,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Quintana Roo,522.047,1.015,523.062,344.216,294.546,36.56,1.951,527.471,8.063,1212.81,40.178,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
San Luis Potosí,12520.55,400.913,12921.46,10426.06,2196.27,229.94,337.008,8946.14,11.229,22146.64,9472.16,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Sinaloa,8219.78,,8219.78,9424.55,1635.69,95.953,82.181,13071.8,,24310.17,6487.54,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Tabasco,5948.94,,5948.94,5048.25,983.95,20.419,,1061.62,55.198,7169.44,116.673,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Tamaulipas,1730.65,9.287,1739.94,3596.34,895.952,122.241,127.238,35.925,,4777.69,95.089,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Tlaxcala,6618.99,140.075,6759.07,683.95,1079.87,269.977,24.821,63.054,26.601,2148.27,135.178,,,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Veracruz,63966.6,203.758,64170.36,22433.48,13229.47,477.298,60.013,42637.17,100.334,78937.76,1479.17,61.964,1.7,,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
Zacatecas,16256.4,484.579,16740.98,4035.52,875.069,354.943,411.828,255.75,1.911,5935.03,428.104,,,0.23,2025,Enero_2025Avance mensual de la producción pecuaria.xls.xlsx
